event_id,continent,country,location,event_name,event_date,event_summary,source_url,latitude,longitude,fire_type,building_use,building_height_or_floors,affected_floors,building_age_status,deaths,injuries,evacuated,cause,fire_spread,urban_fire_resilience_gap,impact,event_year,source_domain,source_grade,city_label_en,building_use_group,building_height_m_reported,building_storeys_reported,external_trigger,arson_trigger,construction_related,facade_fire,valid_geocode,possible_duplicate,analysis_extended,analysis_core,cohort_reason,source_file_sha256,legacy_match_key,population_count_2020_1km_cell,population_density_2020_per_km2,heatwave_days_7d,heatwave_degree_days_c,heatwave_max_t2m_c,heatwave_p90_t2m_c,heatwave_score_0_100,gee_enrichment_status,tmax_percentile_0_100,ghsl_built_surface_m2_1km,ghsl_built_volume_m3_1km,ghsl_mean_building_height_m_1km,ghsl_urbanisation_code_2020,era5_sampling_radius_km,metric_provenance,iso3,context_year,context_year_lag,gdp_per_capita_ppp_constant_2021,urban_population_percent,electricity_access_percent,national_population,ctif_population_thousands,ctif_fire_stations_per_100k,ctif_fire_engines_per_100k,ctif_ladders_per_100k,ctif_career_firefighters_per_100k,ctif_total_firefighters_per_100k,ctif_volunteer_share_percent,ctif_reference_period,ctif_source_page_pdf,ctif_source_file_sha256
HRF-0001,亚洲,"中国香港特别行政区 / Hong Kong SAR, China","入境事务大楼，湾仔，香港特别行政区 / Immigration Tower, Wan Chai, Hong Kong SAR",香港入境事务大楼纵火案 / Immigration Tower arson fire,2000-08-02,香港湾仔入境事务大楼13层发生纵火，造成2人死亡、46人受伤。,https://www.yearbook.gov.hk/2000/b5/calendar/aug_content.htm,22.27832,114.17469,高层建筑内部火灾,政府办公楼,181米；火灾发生在13层,13层,大楼1990年启用，事发时约10年，不属老旧楼宇,2.0,46.0,,居留权申索人士在13层办公室泼洒高度易燃稀释剂并点火，属纵火,室内可燃液体造成火球并蔓延至走廊；楼宇喷淋系统最终控制火势,人员密集的办事处内发生蓄意纵火；其余系统失效未检索到,2人死亡、46人受伤，其中23名伤者为入境事务处职员,2000,yearbook.gov.hk,A,Hong Kong,Office/government,181.0,13.0,False,True,False,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5,2000-08-02|22.2783|114.1747,20701.803884838133,29224.27597407011,0.0,0.0,31.060083007812523,31.342248535156276,0.0,completed,,,,,,,legacy_exact_date_geo_match,HKG,2000.0,0.0,39848.5593475546,100.0,100.0,6665000.0,,,,,,,,,,
HRF-0002,欧洲,Russia,Moscow,Ostankino Tower fire,2000-08-27,Ostankino Tower高层建筑火灾；建筑高度记录为 540.1 m。死亡人数：3。Tallest structure in Europe,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,55.75204,37.61781,高层建筑火灾,未检索到,540.1 m,未检索到,未检索到,3.0,,,未检索到/待核实,未检索到/待核实,未检索到/待核实,死亡人数：3。Tallest structure in Europe,2000,en.wikipedia.org,C,Moscow,Unknown/other,540.1,,False,False,False,False,True,False,True,False,compendium_only_source,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5,2000-08-27|55.752|37.6178,5691.271758491727,12252.962854584366,0.0,0.0,22.084717113483865,27.17323140520872,0.0,completed,,,,,,,legacy_exact_date_geo_match,RUS,2000.0,0.0,20104.75,73.1568222045898,97.8,146596869.0,146781.0,12.482542018381125,15.489061935809131,0.9033866781122897,184.62880073033975,836.348028695812,77.92440534376018,most recent national data reported during 2010-2023,49.0,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
HRF-0003,北美洲,United States,"World Trade Center site, New York City, New York",September 11 World Trade Center high-rise fires,2001-09-11,"Hijacked aircraft struck 1 and 2 World Trade Center, igniting multi-floor fires; both 110-storey towers collapsed. Debris caused secondary fires and severe damage in 7 World Trade Center, 90 West Street and 130 Cedar Street.",https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,40.7118,-74.0131,high-rise building fire,office / mixed high-rise complex,multiple buildings: 110-storey twin towers; 47-storey 7 WTC; 23-storey 90 West; about 22-storey 130 Cedar,未检索到,completed 1931; older building,,,,Deliberate aircraft impacts during the September 11 attacks; debris-related secondary fires in nearby high-rises,未检索到/待核实,未检索到/待核实,"The twin towers and 7 World Trade Center collapsed. CTIF lists 2,312 deaths for the 1/2 WTC high-rise entry, 2 for 90 West Street, and 0 for 7 WTC and 130 Cedar Street; these are building-entry figures, not the total 9/11 death toll.",2001,ctif.org,C,New York City,Office/government,,,True,False,False,False,True,False,False,False,external_disaster_trigger,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5,2001-09-11|40.7118|-74.0131,8770.40331429311,20695.28068745544,0.0,0.0,28.51415559261221,28.695229402594634,0.0,completed,,,,,,,legacy_exact_date_geo_match,USA,2001.0,0.0,55024.3542766281,79.3086223667912,100.0,284968955.0,336806.0,17.428430609906,21.288219331009543,2.226801185252044,113.71531386020439,302.2808382273475,62.380905608486394,most recent national data reported during 2010-2023,49.0,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
HRF-0004,北美洲,United States,"Arlington County, Virginia",The Pentagon fire,2001-09-11,Part of the September 11 attacks. Caused damaged at the southwestern side from one hijacked airliner Flight 77 of the impact and partial collapse.,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,,,高层建筑火灾,未检索到,23 m,未检索到,未检索到,125.0,,,未检索到/待核实,未检索到/待核实,未检索到/待核实,Part of the September 11 attacks. Caused damaged at the southwestern side from one hijacked airliner Flight 77 of the impact and partial collapse.,2001,en.wikipedia.org,C,Arlington County,Unknown/other,23.0,,False,False,False,False,False,False,False,False,invalid_or_missing_geocode,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5,2001-09-11|nan|nan,,,,,,,,invalid_coordinate_or_date,,,,,,,requires_current_gee,USA,2001.0,0.0,55024.3542766281,79.3086223667912,100.0,284968955.0,336806.0,17.428430609906,21.288219331009543,2.226801185252044,113.71531386020439,302.2808382273475,62.380905608486394,most recent national data reported during 2010-2023,49.0,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
HRF-0005,欧洲,Italy,Milan,Pirelli Tower fire,2002-04-18,Pirelli Tower高层建筑火灾；建筑高度记录为 127 m。死亡人数：3。Plane crash,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,45.46427,9.18951,高层建筑火灾,未检索到,127 m,未检索到,未检索到,3.0,,,Plane crash,未检索到/待核实,未检索到/待核实,死亡人数：3。Plane crash,2002,en.wikipedia.org,C,Milan,Unknown/other,127.0,,True,False,False,False,True,False,False,False,external_disaster_trigger,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5,2002-04-18|45.4643|9.1895,5702.254698942728,9447.205068516603,0.0,0.0,18.421228027343773,22.188992902967676,0.0,completed,,,,,,,legacy_exact_date_geo_match,ITA,2002.0,0.0,51369.1149098293,67.3538786566538,100.0,57089824.0,61000.0,1.478688524590164,3.819672131147541,0.5032786885245901,47.32786885245901,80.21311475409836,40.997343143265894,most recent national data reported during 2010-2023,49.0,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
HRF-0006,大洋洲,Australia,Fairfield,Tip Top Bakery fire,2002-06-02,Tip Top Bakery高层建筑外立面火灾。死亡 0，受伤 1；表中记录的受影响楼层为 1。,https://www.vic.gov.au/sites/default/files/2024-08/LITERA~1.PDF,-34.89842,148.85272,高层建筑外立面火灾,食品工业厂房,单层；约10000平方米,1,未检索到,0.0,0.0,,燃气加热系统故障引燃玉米粉（polenta flour）,EPS聚苯乙烯夹芯板造成快速隐蔽蔓延并削弱结构；液态酵母泄漏进一步供燃,无自动喷淋；现场供水不足，消防由内攻转为防御,单层约10000平方米工厂大部毁损，估计损失超过1亿澳元；现有专题表的伤员数字与政府综述不一致,2002,vic.gov.au,A,Fairfield,Unknown/other,,,False,False,False,True,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5,2002-06-02|-34.8984|148.8527,0.8448693190511981,1.1970147599429808,0.0,0.0,13.777812967340369,14.470602617037704,0.0,completed,,,,,,,legacy_exact_date_geo_match,AUS,2002.0,0.0,46688.3947760633,85.2842102783464,100.0,19495210.0,20016.0,,22.22222222222222,,,,,most recent national data reported during 2010-2023,49.0,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
HRF-0007,北美洲,United States,"Clearwater, Florida",Clearwater condominium high-rise fire,2002-06-28,A condominium high-rise fire in Clearwater listed by CTIF caused fatalities and injuries.,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,27.9659,-82.8001,high-rise building fire,residential condominium,high-rise; exact building/floor count unresolved,未检索到,unknown,2.0,5.0,,not established in the consulted compendium,未检索到/待核实,未检索到/待核实,CTIF lists 2 deaths and 5 injuries.,2002,ctif.org,C,Clearwater,Residential,,,False,False,False,False,True,False,True,False,compendium_only_source,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5,2002-06-28|27.9659|-82.8001,783.0229913094095,1291.542001525473,0.0,0.0,28.83133122809585,30.23568806871083,0.0,completed,,,,,,,legacy_exact_date_geo_match,USA,2002.0,0.0,55443.2199435683,79.5461039768657,100.0,287625193.0,336806.0,17.428430609906,21.288219331009543,2.226801185252044,113.71531386020439,302.2808382273475,62.380905608486394,most recent national data reported during 2010-2023,49.0,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
HRF-0008,非洲,South Africa,Johannesburg,Rand Inn International Hotel fire,2003-03-05,约21层住宅旅馆低层餐厅/厨房起火，烟气通过楼梯间和电梯井充满整栋高层。,https://iol.co.za/news/south-africa/2003-03-05-joburg-fire-victims-leap-to-their-death/,-26.2041,28.0473,high-rise hotel / residential fire,住宅式酒店,20–21层,未检索到,老旧内城住宅式酒店,5.0,61.0,,据同期消防信息，火灾疑从酒店餐厅开始；具体点火机制未公开,浓烟沿约20层建筑上升；恐慌导致人员跳楼，坠落和烟气吸入构成主要伤害,高层烟控与疏散组织承压；现场报道同时称建筑具备规定的灭火器、逃生通道和设施,同期IOL报道5死61伤；另一同期报道为5死67伤，故伤员数字仍有差异,2003,iol.co.za,B,Johannesburg,Residential,,21.0,False,False,False,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5,2003-03-05|-26.2041|28.0473,11036.418668030616,14293.645156515127,0.0,0.0,27.90582625777637,27.183393505080744,0.0,completed,,,,,,,legacy_exact_date_geo_match,ZAF,2003.0,0.0,11923.1211013633,58.3724341232066,78.8,48500348.0,,,,,,,,,,
HRF-0009,欧洲,United Kingdom,"Paddington, London, England, United Kingdom",Telstar House fire,2003-07-29,伦敦一栋高层办公楼发生大火，火势破坏第7至10层并延至第11层局部。,https://highrisefire.co.uk/cstelstar.html,51.5169,-0.1774,high-rise office fire,office,"13 storeys; floors 7-10 destroyed, part of 11th affected",4,1960s office building,0.0,3.0,,来源页未给出最终起火原因。,未检索到/待核实,未检索到/待核实,约5万平方英尺受火；3人受伤；建筑无法继续使用，后拆除。,2003,highrisefire.co.uk,B,Paddington,Office/government,,13.0,False,False,False,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5,2003-07-29|51.5169|-0.1774,8750.863561146654,16341.472012641483,0.0,0.0,21.57091295828235,25.94155613352794,0.0,completed,,,,,,,legacy_exact_date_geo_match,GBR,2003.0,0.0,46505.2798806788,80.2331593332802,100.0,59647577.0,64903.0,3.163181979261359,4.4682064003204784,0.3620787945087284,61.78450919063834,93.21603007565136,2.3140495867768593,most recent national data reported during 2010-2023,49.0,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
HRF-0010,北美洲,United States,"Chicago, Illinois",Cook County Administration Building fire,2003-10-17,A fire on the 12th floor of a 35-storey government office building filled stairways with smoke.,https://www.nist.gov/el/fire-research-division-73300/firegov-fire-service/video-cook-county-administration-building-fire,41.8833,-87.6302,high-rise building fire,government office,35 floors,未检索到,completed 1964; older unsprinklered high-rise,6.0,7.0,,Fire began on shelving in a storage room beneath a ceiling light fixture; exact ignition details investigated,未检索到/待核实,未检索到/待核实,6 deaths; several injuries; smoke spread into locked stairways.,2003,nist.gov,A,Chicago,Office/government,,35.0,False,False,False,False,True,False,True,True,core_eligible,386eb556101286e4dce89060d1d60ca105f5f54e97db3d3f297bcc2be6c291e5,2003-10-17|41.8833|-87.6302,3631.717069972645,6004.677774602717,0.0,0.0,22.3579441514126,22.3345881794774,0.0,completed,,,,,,,legacy_exact_date_geo_match,USA,2003.0,0.0,56505.4468784112,79.7773350255284,100.0,290107933.0,336806.0,17.428430609906,21.288219331009543,2.226801185252044,113.71531386020439,302.2808382273475,62.380905608486394,most recent national data reported during 2010-2023,49.0,2feed2884d17906fdc9ebb169b2d6edf40d0365c82aafa2f8693cfa574a1ce5e
