claim_id,manuscript_location,claim,evidence,status,boundary
C01,Introduction,Urban fire activity can vary with climatic warming,"Shi et al. 2025; Yao et al. 2024",verified,"Prior studies concern broader urban or building-fire series, not this event database"
C02,Results,The database contains 239 documented events in 52 countries or regions,Workbook audit and SHA-256 manifest,verified,"Documented events are not a census of global fire incidence"
C03,Results,The core cohort contains 191 traceable non-external events,Cohort algorithm and audit JSON,verified,"Source grade is an operational reproducibility criterion"
C04,Results,The primary ERA5-Land analysis does not support a positive association between the heatwave indicator and a documented event day,Conditional logistic regression and Figure 2,verified,"OR 0.72; 95% CI 0.24-2.18; P=0.563; 21 informative strata; imprecision does not prove no effect"
C05,Results,The exploratory heat score is not clearly associated with reported total-casualty severity,Negative-binomial complete-case model,verified,"RR 1.04 per 10 points; 95% CI 0.90-1.21; P=0.608; 66 events with both deaths and injuries reported; selective reporting remains"
C06,Discussion,Population and built volume indicate exposed urban fabric rather than causal ignition mechanisms,"GPW and GHSL event-point extraction",partially_verified,"Static 2018/2020 layers are temporally mismatched to some events"
C07,Discussion,Resource planning should consider risk and equity,Behrendt et al. 2019,verified,"Evidence is United States-specific"
C08,Methods,Heatwaves are at least three consecutive locally extreme days,"Perkins-Kirkpatrick and Lewis 2020",verified,"Primary threshold is P90 plus a 30 degrees C floor; alternative definitions are sensitivity analyses"
C09,Introduction,High-rise evacuation choices depend on route visibility and building configuration,Mossberg et al. 2021,verified,"One 35-floor hotel experiment with 67 participants; not a universal behavioural law"
C10,Introduction,Façade suppression configuration can alter upward flame migration and heat flux,Meraner et al. 2024,verified,"Large-scale controlled façade experiments; not direct evidence about ambient heatwaves"
C11,Results,Population density and land use can explain local spatial concentration of recorded urban fires,Wu et al. 2026,verified,"One district in China; supports contextual modelling rather than global generalisation"
C12,Methods,GHSL built volume provides gridded surrounding built-form context,Pesaresi and Politis 2023,verified,"Static gridded context is not incident-building geometry"
C13,Results,Numeric injury reporting increases with country-year GDP and decreases for grade-C sources,Observation-process binomial GLM,verified,"Exploratory association in 221 documented extended-cohort events; not an injury-risk model"
C14,Results,Numeric evacuation reporting increases with event year and decreases for grade-C sources,Observation-process binomial GLM,verified,"Exploratory association in 221 documented extended-cohort events; not an evacuation-risk model"
C15,Results,NASA POWER heatwave estimates are directionally positive but imprecise across prespecified definitions,Conditional logistic sensitivity models and Supplementary Figure S2,verified,"Independent coarse-grid local-solar-time product; 7--43 informative strata; all confidence intervals include one; not the primary ERA5-Land estimate"
C16,Results,Reported deaths and injuries are highly concentrated across documented extended-cohort events,Numeric-outcome concentration curves and Figure 4,verified,"Gini coefficients describe available numeric records and not population incidence or all missing consequences"
C17,Results,Recorded consequence magnitude varies with year GDP and event type after measured adjustment,Reporting-weighted log-linear exploratory models and Supplementary Table S8,verified,"Conditional on documentation and available building size; no multiplicity adjustment; lower ratios must not be interpreted as protective causal effects"
C18,Results,Available national fire-service capacity estimates are imprecise across recorded consequence models,CTIF Table 1.13 sensitivity models and Supplementary Figure S4,verified,"Cross-sectional most-recent values during 2010-2023; partial country coverage; all confidence intervals include one; neither causal evidence nor evidence of no effect"
C19,Results,Independent-product heat estimates are directionally sensitive and imprecise across evidence and geographic restrictions,NASA POWER cohort exclusion and leave-one-continent-out models and Supplementary Figure S5,verified,"All 12 models converged and all confidence intervals include one; only 9-17 informative strata; this does not replace the ERA5-Land primary analysis"
C20,Introduction,Documentation and consequence missingness in global event databases can be structured by time country context event attributes and media attention,Jones et al. 2022 and Fetzer and Garg 2026,verified,"Direct evidence comes from global natural-disaster databases and cross-border disaster news rather than a global fire registry; used as design motivation only"
C21,Discussion,Urban fire severity prediction can connect building temporal and GIS features to resource-allocation scenarios,Lee et al. 2025,verified,"One-city predictive and simulation study; supports operational context but not cross-national capacity effectiveness or causal impact"
C22,Methods,Authenticated Earth Engine extraction covers every valid event coordinate and every ERA5-Land matched-day stratum,GEE checkpoints and processed manifests,verified,"233 valid coordinates completed; 995 matched days in 228 strata; five strata used a documented 20-km coastal fallback"
C23,Discussion,Weather-product choice changes the direction of the primary heatwave point estimate,ERA5-Land and NASA POWER conditional logistic models,verified,"ERA5-Land OR 0.72 and NASA POWER OR 1.14; both intervals include one; disagreement is exposure-product sensitivity rather than evidence for either sign"
