record_no,event_id,continent,country,location,event_name,event_date,event_year,event_summary,cause,impact,source_url,latitude,longitude,coordinate_meaning,coordinate_precision,fire_type,building_use,building_height_or_floors,affected_floors,building_age_status,deaths,injuries,evacuated,source_grade,verification_status,status_group,source_location_notes,source_dataset,collection_path,supplementary_url,primary_source_count,source_url_access_status,supplementary_url_access_status,retrieval_date,event_group_id,independent_event_count,heatwave_evidence,cause_completeness,population_count_2020,population_density_2020_per_km2,heatwave_days_7d,heatwave_max_t2m_c,heatwave_p90_t2m_c,heatwave_degree_days_c,heatwave_score_0_100,gee_enrichment_status
1,HRF-0001,亚洲,Hong Kong,Hong Kong,Immigration Tower fire,2000-08-02,2000,Immigration Tower高层建筑火灾；建筑高度记录为 181 m。死亡人数：2。Arson,Arson,死亡人数：2。Arson,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,22.27832,114.17469,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,181 m,未检索到,未检索到,2,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
2,HRF-0002,亚洲,Iraq,Baghdad,Al Rasheed Hotel fire,2003-12-26,2003,Al Rasheed Hotel高层建筑火灾；建筑高度记录为 59.4 m。死亡人数：1。Twenty-eight 68 mm and 85 mm Katyusha rockets were fired at and struck the hotel,Twenty-eight 68 mm and 85 mm Katyusha rockets were fired at and struck the hotel,死亡人数：1。Twenty-eight 68 mm and 85 mm Katyusha rockets were fired at and struck the hotel,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,33.34058,44.40088,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,hotel,59.4 m,未检索到,未检索到,1,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
3,HRF-0003,亚洲,Iran,Tehran,Tohid Town Residential fire,2005-12-06,2005,Tohid Town Residential高层建筑火灾；建筑高度记录为 33 m。死亡人数：106。Plane crash: 2005 Iranian Air Force C-130 crash,Plane crash: 2005 Iranian Air Force C-130 crash,死亡人数：106。Plane crash: 2005 Iranian Air Force C-130 crash,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,35.69439,51.42151,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,residential,33 m,未检索到,未检索到,106,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
4,HRF-0004,亚洲,Kazakhstan,Astana,Transport Tower fire,2006-05-30,2006,Transport Tower高层建筑火灾；建筑高度记录为 112.2 m。死亡人数：0。Fire destroyed upper floors of 34-story government building,未检索到/待核实,死亡人数：0。Fire destroyed upper floors of 34-story government building,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,51.1801,71.44598,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,112.2 m,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
5,HRF-0005,亚洲,United Arab Emirates,Dubai,Fortune Tower fire,2007-01-18,2007,"Fortune Tower高层建筑火灾；建筑高度记录为 未列明。死亡人数：4。Occurred during construction, 57 injured",未检索到/待核实,"死亡人数：4。Occurred during construction, 57 injured",https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,25.07725,55.30927,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,未检索到,未检索到,未检索到,4,57,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
6,HRF-0006,亚洲,China,Shanghai,Shanghai World Financial Center fire,2007-08-14,2007,Shanghai World Financial Center高层建筑火灾；建筑高度记录为 494.3 m。死亡人数：0。Occurred on 40th floor during construction,未检索到/待核实,死亡人数：0。Occurred on 40th floor during construction,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,31.22222,121.45806,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,494.3 m,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
7,HRF-0007,亚洲,Saudi Arabia,Mecca,Abraj Al Bait Towers fire,2008-10-28,2008,Abraj Al Bait Towers高层建筑火灾；建筑高度记录为 601 m。死亡人数：0。Occurred during construction; fire consumed nine floors,未检索到/待核实,死亡人数：0。Occurred during construction; fire consumed nine floors,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,21.42664,39.82563,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,601 m,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
8,HRF-0008,亚洲,China,Beijing,Beijing Television Cultural Center fire,2009-02-09,2009,Beijing Television Cultural Center fire高层建筑外立面火灾。死亡 1，受伤 7；表中记录的受影响楼层为 44。,未检索到/待核实,死亡 1，受伤 7；表中记录的受影响楼层为 44。,https://en.wikipedia.org/wiki/Beijing_Television_Cultural_Center_fire,39.9075,116.39723,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,159 m,44,未检索到,1,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层专题表,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
9,HRF-0009,亚洲,Bangladesh,Dhaka,Bashundhara City Tower fire,2009-03-13,2009,Bashundhara City Tower高层建筑火灾；建筑高度记录为 62.7 m。死亡人数：4。,未检索到/待核实,死亡人数：4。,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,23.7104,90.40744,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,62.7 m,未检索到,未检索到,4,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
10,HRF-0010,亚洲,Saudi Arabia,Mecca,Abraj Al Bait Towers fire,2009-05-01,2009,Abraj Al Bait Towers高层建筑火灾；建筑高度记录为 未列明。死亡人数：0。Occurred during construction,未检索到/待核实,死亡人数：0。Occurred during construction,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,21.42664,39.82563,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,未检索到,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
